query,issue,category,query_preprocessed,vocab
snelwegrotonde,Infrastructuur,expanded,snelwegrotonde,True
snelwegverbindingen,Infrastructuur,expanded,snelwegverbindingen,True
snelwegafritten,Infrastructuur,expanded,snelwegafritten,True
snelwegwandelaars,Infrastructuur,expanded,snelwegwandelaars,True
snelwegverhalen,Infrastructuur,expanded,snelwegverhalen,True
snelwegbanen,Infrastructuur,expanded,snelwegbanen,True
snelwegknooppunten,Infrastructuur,expanded,snelwegknooppunten,True
snelwegpomp,Infrastructuur,expanded,snelwegpomp,True
snelwegtankstations,Infrastructuur,expanded,snelwegtankstations,True
snelwegenproject,Infrastructuur,expanded,snelwegenproject,True
snelwegexploitant,Infrastructuur,expanded,snelwegexploitant,True
snelwegpiraten,Infrastructuur,expanded,snelwegpiraten,True
snelwegangst,Infrastructuur,expanded,snelwegangst,True
snelwegagenten,Infrastructuur,expanded,snelwegagenten,True
snelwegafval,Infrastructuur,expanded,snelwegafval,True
snelweglawaai,Infrastructuur,expanded,snelweglawaai,True
snelwegzones,Infrastructuur,expanded,snelwegzones,True
snelweggeluiden,Infrastructuur,expanded,snelweggeluiden,True
snelwegtoiletten,Infrastructuur,expanded,snelwegtoiletten,True
snelwegbermen,Infrastructuur,expanded,snelwegbermen,True
snelwegvignetten,Infrastructuur,expanded,snelwegvignetten,True
snelweggedeelten,Infrastructuur,expanded,snelweggedeelten,True
snelwegongeluk,Infrastructuur,expanded,snelwegongeluk,True
snelwegsuper,Infrastructuur,expanded,snelwegsuper,True
snelwegafslagen,Infrastructuur,expanded,snelwegafslagen,True
snelweghotels,Infrastructuur,expanded,snelweghotels,True
snelwegenruit,Infrastructuur,expanded,snelwegenruit,True
snelwegtoilet,Infrastructuur,expanded,snelwegtoilet,True
snelwegmotel,Infrastructuur,expanded,snelwegmotel,True
snelwegcultuur,Infrastructuur,expanded,snelwegcultuur,True
snelwegbouwers,Infrastructuur,expanded,snelwegbouwers,True
snelwegportaal,Infrastructuur,expanded,snelwegportaal,True
snelwegconcessie,Infrastructuur,expanded,snelwegconcessie,True
snelwegboa,Infrastructuur,expanded,snelwegboa,True
snelwegbeschietingen,Infrastructuur,expanded,snelwegbeschietingen,True
snelwegbevalling,Infrastructuur,expanded,snelwegbevalling,True
snelwegcontrole,Infrastructuur,expanded,snelwegcontrole,True
snelwegcriminaliteit,Infrastructuur,expanded,snelwegcriminaliteit,True
snelwegdoden,Infrastructuur,expanded,snelwegdoden,True
snelweglopers,Infrastructuur,expanded,snelweglopers,True
snelwegmuseum,Infrastructuur,expanded,snelwegmuseum,True
snelwegviaducten,Infrastructuur,expanded,snelwegviaducten,True
snelwegprotest,Infrastructuur,expanded,snelwegprotest,True
snelwegpompen,Infrastructuur,expanded,snelwegpompen,True
snelwegbetogers,Infrastructuur,expanded,snelwegbetogers,True
snelweg*,Infrastructuur,wildcard,snelweg,True
spoorwegen,Infrastructuur,expanded,spoorwegen,True
spoorwegovergang,Infrastructuur,expanded,spoorwegovergang,True
spoorwegpolitie,Infrastructuur,expanded,spoorwegpolitie,True
spoorwegmuseum,Infrastructuur,expanded,spoorwegmuseum,True
spoorweg,Infrastructuur,expanded,spoorweg,True
spoorwegmaatschappij,Infrastructuur,expanded,spoorwegmaatschappij,True
spoorwegnet,Infrastructuur,expanded,spoorwegnet,True
spoorwegovergangen,Infrastructuur,expanded,spoorwegovergangen,True
spoorwegbedrijf,Infrastructuur,expanded,spoorwegbedrijf,True
spoorwegpersoneel,Infrastructuur,expanded,spoorwegpersoneel,True
spoorwegbeheerder,Infrastructuur,expanded,spoorwegbeheerder,True
spoorwegmaatschappijen,Infrastructuur,expanded,spoorwegmaatschappijen,True
spoorwegennet,Infrastructuur,expanded,spoorwegennet,True
spoorwegpensioenfonds,Infrastructuur,expanded,spoorwegpensioenfonds,True
spoorwegstaking,Infrastructuur,expanded,spoorwegstaking,True
spoorwegwet,Infrastructuur,expanded,spoorwegwet,True
spoorwegmaterieel,Infrastructuur,expanded,spoorwegmaterieel,True
spoorwegemplacement,Infrastructuur,expanded,spoorwegemplacement,True
spoorwegstation,Infrastructuur,expanded,spoorwegstation,True
spoorwegongevallen,Infrastructuur,expanded,spoorwegongevallen,True
spoorwegbedrijven,Infrastructuur,expanded,spoorwegbedrijven,True
spoorwegverbinding,Infrastructuur,expanded,spoorwegverbinding,True
spoorwegvakbond,Infrastructuur,expanded,spoorwegvakbond,True
spoorwegstations,Infrastructuur,expanded,spoorwegstations,True
spoorwegviaduct,Infrastructuur,expanded,spoorwegviaduct,True
spoorwegvakbonden,Infrastructuur,expanded,spoorwegvakbonden,True
spoorwegarbeiders,Infrastructuur,expanded,spoorwegarbeiders,True
spoorwegknooppunt,Infrastructuur,expanded,spoorwegknooppunt,True
spoorwegonderneming,Infrastructuur,expanded,spoorwegonderneming,True
spoorwegbeambte,Infrastructuur,expanded,spoorwegbeambte,True
spoorwegtunnel,Infrastructuur,expanded,spoorwegtunnel,True
spoorwegnetwerk,Infrastructuur,expanded,spoorwegnetwerk,True
spoorwegarbeider,Infrastructuur,expanded,spoorwegarbeider,True
spoorwegmedewerkers,Infrastructuur,expanded,spoorwegmedewerkers,True
spoorwegemplacementen,Infrastructuur,expanded,spoorwegemplacementen,True
spoorwegverkeer,Infrastructuur,expanded,spoorwegverkeer,True
spoorwegwerkers,Infrastructuur,expanded,spoorwegwerkers,True
spoorweginfrastructuur,Infrastructuur,expanded,spoorweginfrastructuur,True
spoorwegverbindingen,Infrastructuur,expanded,spoorwegverbindingen,True
spoorwegagenten,Infrastructuur,expanded,spoorwegagenten,True
spoorwegbonden,Infrastructuur,expanded,spoorwegbonden,True
spoorwegbeambten,Infrastructuur,expanded,spoorwegbeambten,True
spoorwegbomen,Infrastructuur,expanded,spoorwegbomen,True
spoorwegmedewerker,Infrastructuur,expanded,spoorwegmedewerker,True
spoorwegondernemingen,Infrastructuur,expanded,spoorwegondernemingen,True
spoorwegdirectie,Infrastructuur,expanded,spoorwegdirectie,True
spoorwegbond,Infrastructuur,expanded,spoorwegbond,True
spoorwegman,Infrastructuur,expanded,spoorwegman,True
spoorwegbouw,Infrastructuur,expanded,spoorwegbouw,True
spoorwegongeluk,Infrastructuur,expanded,spoorwegongeluk,True
spoorwegstakingen,Infrastructuur,expanded,spoorwegstakingen,True
spoorwegsector,Infrastructuur,expanded,spoorwegsector,True
spoorwegbrug,Infrastructuur,expanded,spoorwegbrug,True
spoorwegingenieur,Infrastructuur,expanded,spoorwegingenieur,True
spoorwegstelsel,Infrastructuur,expanded,spoorwegstelsel,True
spoorwegsysteem,Infrastructuur,expanded,spoorwegsysteem,True
spoorwegveiligheid,Infrastructuur,expanded,spoorwegveiligheid,True
spoorwegvervoerder,Infrastructuur,expanded,spoorwegvervoerder,True
spoorwegambtenaar,Infrastructuur,expanded,spoorwegambtenaar,True
spoorweghaven,Infrastructuur,expanded,spoorweghaven,True
spoorwegbouwer,Infrastructuur,expanded,spoorwegbouwer,True
spoorwegautoriteiten,Infrastructuur,expanded,spoorwegautoriteiten,True
spoorwegwerker,Infrastructuur,expanded,spoorwegwerker,True
spoorwegagent,Infrastructuur,expanded,spoorwegagent,True
spoorwegindustrie,Infrastructuur,expanded,spoorwegindustrie,True
spoorwegongevallenraad,Infrastructuur,expanded,spoorwegongevallenraad,True
spoorwegnetten,Infrastructuur,expanded,spoorwegnetten,True
spoorwegongeval,Infrastructuur,expanded,spoorwegongeval,True
spoorwegwagons,Infrastructuur,expanded,spoorwegwagons,True
spoorwegprojecten,Infrastructuur,expanded,spoorwegprojecten,True
spoorwegongelukken,Infrastructuur,expanded,spoorwegongelukken,True
spoorwegdirecteur,Infrastructuur,expanded,spoorwegdirecteur,True
spoorwegcarrousel,Infrastructuur,expanded,spoorwegcarrousel,True
spoorwegbaas,Infrastructuur,expanded,spoorwegbaas,True
spoorwegautoriteit,Infrastructuur,expanded,spoorwegautoriteit,True
spoorwegmensen,Infrastructuur,expanded,spoorwegmensen,True
spoorwegennetwerk,Infrastructuur,expanded,spoorwegennetwerk,True
spoorwegorganisatie,Infrastructuur,expanded,spoorwegorganisatie,True
spoorwegproject,Infrastructuur,expanded,spoorwegproject,True
spoorwegmagnaat,Infrastructuur,expanded,spoorwegmagnaat,True
spoorwegtraject,Infrastructuur,expanded,spoorwegtraject,True
spoorwegtrac,Infrastructuur,expanded,spoorwegtrac,True
spoorwegsystemen,Infrastructuur,expanded,spoorwegsystemen,True
spoorwegminister,Infrastructuur,expanded,spoorwegminister,True
spoorwegvervoer,Infrastructuur,expanded,spoorwegvervoer,True
spoorwegconcern,Infrastructuur,expanded,spoorwegconcern,True
spoorwegaandelen,Infrastructuur,expanded,spoorwegaandelen,True
spoorwegorganisaties,Infrastructuur,expanded,spoorwegorganisaties,True
spoorwegmateriaal,Infrastructuur,expanded,spoorwegmateriaal,True
spoorwegmarkt,Infrastructuur,expanded,spoorwegmarkt,True
spoorwegpakket,Infrastructuur,expanded,spoorwegpakket,True
spoorwegtalud,Infrastructuur,expanded,spoorwegtalud,True
spoorwegfunctionarissen,Infrastructuur,expanded,spoorwegfunctionarissen,True
spoorwegterrein,Infrastructuur,expanded,spoorwegterrein,True
spoorwegviaducten,Infrastructuur,expanded,spoorwegviaducten,True
spoorwegberm,Infrastructuur,expanded,spoorwegberm,True
spoorwegbouwers,Infrastructuur,expanded,spoorwegbouwers,True
spoorwegboekje,Infrastructuur,expanded,spoorwegboekje,True
spoorwegdivisie,Infrastructuur,expanded,spoorwegdivisie,True
spoorwegbeheerders,Infrastructuur,expanded,spoorwegbeheerders,True
spoorwegstakers,Infrastructuur,expanded,spoorwegstakers,True
spoorwegonderhoud,Infrastructuur,expanded,spoorwegonderhoud,True
spoorwegarchitectuur,Infrastructuur,expanded,spoorwegarchitectuur,True
spoorwegbazen,Infrastructuur,expanded,spoorwegbazen,True
spoorwegfonds,Infrastructuur,expanded,spoorwegfonds,True
spoorweggeschiedenis,Infrastructuur,expanded,spoorweggeschiedenis,True
spoorwegkathedraal,Infrastructuur,expanded,spoorwegkathedraal,True
spoorwegtunnels,Infrastructuur,expanded,spoorwegtunnels,True
spoorweginstallatie,Infrastructuur,expanded,spoorweginstallatie,True
spoorwegmannen,Infrastructuur,expanded,spoorwegmannen,True
spoorwegwerknemers,Infrastructuur,expanded,spoorwegwerknemers,True
spoorwegministerie,Infrastructuur,expanded,spoorwegministerie,True
spoorwegbouwbedrijf,Infrastructuur,expanded,spoorwegbouwbedrijf,True
spoorwegmusea,Infrastructuur,expanded,spoorwegmusea,True
spoorwegtrace,Infrastructuur,expanded,spoorwegtrace,True
spoorwegknooppunten,Infrastructuur,expanded,spoorwegknooppunten,True
spoorwegfanaten,Infrastructuur,expanded,spoorwegfanaten,True
spoorwegbeveiliging,Infrastructuur,expanded,spoorwegbeveiliging,True
spoorwegnetwerken,Infrastructuur,expanded,spoorwegnetwerken,True
spoorweglijnen,Infrastructuur,expanded,spoorweglijnen,True
spoorwegverleden,Infrastructuur,expanded,spoorwegverleden,True
spoorwegpionier,Infrastructuur,expanded,spoorwegpionier,True
spoorwegrechercheurs,Infrastructuur,expanded,spoorwegrechercheurs,True
spoorwegexploitant,Infrastructuur,expanded,spoorwegexploitant,True
spoorwegkruising,Infrastructuur,expanded,spoorwegkruising,True
spoorwegstadje,Infrastructuur,expanded,spoorwegstadje,True
spoorwegtijdperk,Infrastructuur,expanded,spoorwegtijdperk,True
spoorwegtroepen,Infrastructuur,expanded,spoorwegtroepen,True
spoorwegstationnetje,Infrastructuur,expanded,spoorwegstationnetje,True
spoorwegzaken,Infrastructuur,expanded,spoorwegzaken,True
spoorwegdirecties,Infrastructuur,expanded,spoorwegdirecties,True
spoorwegtrajecten,Infrastructuur,expanded,spoorwegtrajecten,True
spoorwegagentschap,Infrastructuur,expanded,spoorwegagentschap,True
spoorwegkathedralen,Infrastructuur,expanded,spoorwegkathedralen,True
spoorwegbaantje,Infrastructuur,expanded,spoorwegbaantje,True
spoorwegingenieurs,Infrastructuur,expanded,spoorwegingenieurs,True
spoorweghuisje,Infrastructuur,expanded,spoorweghuisje,True
spoorwegrijtuigen,Infrastructuur,expanded,spoorwegrijtuigen,True
spoorwegbureau,Infrastructuur,expanded,spoorwegbureau,True
spoorwegvervoerders,Infrastructuur,expanded,spoorwegvervoerders,True
spoorwegnetbeheerder,Infrastructuur,expanded,spoorwegnetbeheerder,True
spoorwegrecherche,Infrastructuur,expanded,spoorwegrecherche,True
spoorwegwerkzaamheden,Infrastructuur,expanded,spoorwegwerkzaamheden,True
spoorwegcrisis,Infrastructuur,expanded,spoorwegcrisis,True
spoorwegonderdoorgang,Infrastructuur,expanded,spoorwegonderdoorgang,True
spoorwegenwet,Infrastructuur,expanded,spoorwegenwet,True
spoorwegramp,Infrastructuur,expanded,spoorwegramp,True
spoorwegketel,Infrastructuur,expanded,spoorwegketel,True
spoorweghefbrug,Infrastructuur,expanded,spoorweghefbrug,True
spoorwegbassin,Infrastructuur,expanded,spoorwegbassin,True
spoorwegbaron,Infrastructuur,expanded,spoorwegbaron,True
spoorwegdriehoek,Infrastructuur,expanded,spoorwegdriehoek,True
spoorwegterreinen,Infrastructuur,expanded,spoorwegterreinen,True
spoorwegdiensten,Infrastructuur,expanded,spoorwegdiensten,True
spoorwegpolitieman,Infrastructuur,expanded,spoorwegpolitieman,True
spoorwegfunctionaris,Infrastructuur,expanded,spoorwegfunctionaris,True
spoorwegambtenaren,Infrastructuur,expanded,spoorwegambtenaren,True
spoorwegbruggen,Infrastructuur,expanded,spoorwegbruggen,True
spoorwegwagon,Infrastructuur,expanded,spoorwegwagon,True
spoorwegtopman,Infrastructuur,expanded,spoorwegtopman,True
spoorweginstallaties,Infrastructuur,expanded,spoorweginstallaties,True
spoorwegincidenten,Infrastructuur,expanded,spoorwegincidenten,True
spoorwegobligaties,Infrastructuur,expanded,spoorwegobligaties,True
spoorwegvakbondsman,Infrastructuur,expanded,spoorwegvakbondsman,True
spoorweggebouw,Infrastructuur,expanded,spoorweggebouw,True
spoorwegmaatschapij,Infrastructuur,expanded,spoorwegmaatschapij,True
spoorwegtop,Infrastructuur,expanded,spoorwegtop,True
spoorwegbeheer,Infrastructuur,expanded,spoorwegbeheer,True
spoorwegoverwegen,Infrastructuur,expanded,spoorwegoverwegen,True
spoorwegsein,Infrastructuur,expanded,spoorwegsein,True
spoorwegland,Infrastructuur,expanded,spoorwegland,True
spoorwegstad,Infrastructuur,expanded,spoorwegstad,True
spoorwegdeskundige,Infrastructuur,expanded,spoorwegdeskundige,True
spoorwegwerkplaats,Infrastructuur,expanded,spoorwegwerkplaats,True
spoorwegdrama,Infrastructuur,expanded,spoorwegdrama,True
spoorwegbeleid,Infrastructuur,expanded,spoorwegbeleid,True
spoorwegbielzen,Infrastructuur,expanded,spoorwegbielzen,True
spoorwegplannen,Infrastructuur,expanded,spoorwegplannen,True
spoorwegloods,Infrastructuur,expanded,spoorwegloods,True
spoorwegtaluds,Infrastructuur,expanded,spoorwegtaluds,True
spoorweguitrusting,Infrastructuur,expanded,spoorweguitrusting,True
spoorwegdirecteuren,Infrastructuur,expanded,spoorwegdirecteuren,True
spoorwegslachtoffers,Infrastructuur,expanded,spoorwegslachtoffers,True
spoorwegtechniek,Infrastructuur,expanded,spoorwegtechniek,True
spoorweg*,Infrastructuur,wildcard,spoorweg,True
streekplan,Infrastructuur,expanded,streekplan,True
streekplannen,Infrastructuur,expanded,streekplannen,True
streekplanproject,Infrastructuur,expanded,streekplanproject,True
streekplanherziening,Infrastructuur,expanded,streekplanherziening,True
streekplan*,Infrastructuur,wildcard,streekplan,True
tankstation,Infrastructuur,expanded,tankstation,True
tankstations,Infrastructuur,expanded,tankstations,True
tankstationhouders,Infrastructuur,expanded,tankstationhouders,True
tankstationhouder,Infrastructuur,expanded,tankstationhouder,True
tankstationketen,Infrastructuur,expanded,tankstationketen,True
tankstationnetje,Infrastructuur,expanded,tankstationnetje,True
tankstationondernemers,Infrastructuur,expanded,tankstationondernemers,True
tankstationeigenaren,Infrastructuur,expanded,tankstationeigenaren,True
tankstationbranche,Infrastructuur,expanded,tankstationbranche,True
tankstationmedewerkers,Infrastructuur,expanded,tankstationmedewerkers,True
tankstationexploitant,Infrastructuur,expanded,tankstationexploitant,True
tankstationeigenaar,Infrastructuur,expanded,tankstationeigenaar,True
tankstationmedewerker,Infrastructuur,expanded,tankstationmedewerker,True
tankstationmarkt,Infrastructuur,expanded,tankstationmarkt,True
tankstationexploitanten,Infrastructuur,expanded,tankstationexploitanten,True
tankstationlocaties,Infrastructuur,expanded,tankstationlocaties,True
tankstationketens,Infrastructuur,expanded,tankstationketens,True
tankstationnetwerk,Infrastructuur,expanded,tankstationnetwerk,True
tankstationbediende,Infrastructuur,expanded,tankstationbediende,True
tankstation*,Infrastructuur,wildcard,tankstation,True
telefoonnetwerk,Infrastructuur,expanded,telefoonnetwerk,True
telefoonnetwerken,Infrastructuur,expanded,telefoonnetwerken,True
telefoonnetwerk*,Infrastructuur,wildcard,telefoonnetwerk,True
Thalys,Infrastructuur,original,thalys,True
tram,Infrastructuur,expanded,tram,True
trams,Infrastructuur,expanded,trams,True
tramlijn,Infrastructuur,expanded,tramlijn,True
trampoline,Infrastructuur,expanded,trampoline,True
tramhalte,Infrastructuur,expanded,tramhalte,True
trambaan,Infrastructuur,expanded,trambaan,True
trambestuurder,Infrastructuur,expanded,trambestuurder,True
trammelant,Infrastructuur,expanded,trammelant,True
trampolinespringen,Infrastructuur,expanded,trampolinespringen,True
tramlijnen,Infrastructuur,expanded,tramlijnen,True
tramtunnel,Infrastructuur,expanded,tramtunnel,True
tramrails,Infrastructuur,expanded,tramrails,True
tramverkeer,Infrastructuur,expanded,tramverkeer,True
trambestuurders,Infrastructuur,expanded,trambestuurders,True
tramhaltes,Infrastructuur,expanded,tramhaltes,True
trampolines,Infrastructuur,expanded,trampolines,True
tramremise,Infrastructuur,expanded,tramremise,True
tramverbinding,Infrastructuur,expanded,tramverbinding,True
tramconducteur,Infrastructuur,expanded,tramconducteur,True
tramp,Infrastructuur,expanded,tramp,True
tramaanslag,Infrastructuur,expanded,tramaanslag,True
tramadol,Infrastructuur,expanded,tramadol,True
trampolinespringers,Infrastructuur,expanded,trampolinespringers,True
trampolinespringer,Infrastructuur,expanded,trampolinespringer,True
trambanen,Infrastructuur,expanded,trambanen,True
tramper,Infrastructuur,expanded,tramper,True
trampolinespringster,Infrastructuur,expanded,trampolinespringster,True
trampe,Infrastructuur,expanded,trampe,True
trammetje,Infrastructuur,expanded,trammetje,True
tramconducteurs,Infrastructuur,expanded,tramconducteurs,True
tramstellen,Infrastructuur,expanded,tramstellen,True
trammell,Infrastructuur,expanded,trammell,True
tramschutter,Infrastructuur,expanded,tramschutter,True
tramnet,Infrastructuur,expanded,tramnet,True
tramspoor,Infrastructuur,expanded,tramspoor,True
trampassagiers,Infrastructuur,expanded,trampassagiers,True
tramreizigers,Infrastructuur,expanded,tramreizigers,True
tramontana,Infrastructuur,expanded,tramontana,True
tramweg,Infrastructuur,expanded,tramweg,True
tramsporen,Infrastructuur,expanded,tramsporen,True
tramstation,Infrastructuur,expanded,tramstation,True
tramrit,Infrastructuur,expanded,tramrit,True
tramvervoer,Infrastructuur,expanded,tramvervoer,True
tramway,Infrastructuur,expanded,tramway,True
trampersoneel,Infrastructuur,expanded,trampersoneel,True
tramstel,Infrastructuur,expanded,tramstel,True
trammps,Infrastructuur,expanded,trammps,True
tramell,Infrastructuur,expanded,tramell,True
trambedrijf,Infrastructuur,expanded,trambedrijf,True
trambestuurster,Infrastructuur,expanded,trambestuurster,True
tramkom,Infrastructuur,expanded,tramkom,True
tramhokjes,Infrastructuur,expanded,tramhokjes,True
trambotsing,Infrastructuur,expanded,trambotsing,True
tramnetwerk,Infrastructuur,expanded,tramnetwerk,True
tramkaartje,Infrastructuur,expanded,tramkaartje,True
tramsingel,Infrastructuur,expanded,tramsingel,True
trampolinepark,Infrastructuur,expanded,trampolinepark,True
tramchauffeur,Infrastructuur,expanded,tramchauffeur,True
tramchauffeurs,Infrastructuur,expanded,tramchauffeurs,True
tramongeluk,Infrastructuur,expanded,tramongeluk,True
tramhokje,Infrastructuur,expanded,tramhokje,True
trammuseum,Infrastructuur,expanded,trammuseum,True
trammaatschappij,Infrastructuur,expanded,trammaatschappij,True
tramkaartjes,Infrastructuur,expanded,tramkaartjes,True
tramongeval,Infrastructuur,expanded,tramongeval,True
tramiel,Infrastructuur,expanded,tramiel,True
tramverbindingen,Infrastructuur,expanded,tramverbindingen,True
trammetjes,Infrastructuur,expanded,trammetjes,True
tramconductrice,Infrastructuur,expanded,tramconductrice,True
tramps,Infrastructuur,expanded,tramps,True
tramcontroleurs,Infrastructuur,expanded,tramcontroleurs,True
tramuntana,Infrastructuur,expanded,tramuntana,True
trampassagier,Infrastructuur,expanded,trampassagier,True
tramverbod,Infrastructuur,expanded,tramverbod,True
tramcontroleur,Infrastructuur,expanded,tramcontroleur,True
tramontane,Infrastructuur,expanded,tramontane,True
trampusch,Infrastructuur,expanded,trampusch,True
trama,Infrastructuur,expanded,trama,True
trampoes,Infrastructuur,expanded,trampoes,True
tramkade,Infrastructuur,expanded,tramkade,True
tramsysteem,Infrastructuur,expanded,tramsysteem,True
tramstraat,Infrastructuur,expanded,tramstraat,True
tramritje,Infrastructuur,expanded,tramritje,True
tramplus,Infrastructuur,expanded,tramplus,True
trambrug,Infrastructuur,expanded,trambrug,True
trampolinespringsters,Infrastructuur,expanded,trampolinespringsters,True
trampert,Infrastructuur,expanded,trampert,True
traminer,Infrastructuur,expanded,traminer,True
tramongelukken,Infrastructuur,expanded,tramongelukken,True
tramritten,Infrastructuur,expanded,tramritten,True
tramremises,Infrastructuur,expanded,tramremises,True
trampled,Infrastructuur,expanded,trampled,True
tramleidingen,Infrastructuur,expanded,tramleidingen,True
tramtrekken,Infrastructuur,expanded,tramtrekken,True
tramdeuren,Infrastructuur,expanded,tramdeuren,True
tramhuis,Infrastructuur,expanded,tramhuis,True
trambel,Infrastructuur,expanded,trambel,True
trampolineparken,Infrastructuur,expanded,trampolineparken,True
tramen,Infrastructuur,expanded,tramen,True
tramreiziger,Infrastructuur,expanded,tramreiziger,True
tramkaart,Infrastructuur,expanded,tramkaart,True
tramlijntje,Infrastructuur,expanded,tramlijntje,True
tramrail,Infrastructuur,expanded,tramrail,True
tramroute,Infrastructuur,expanded,tramroute,True
trami,Infrastructuur,expanded,trami,True
trambedrijven,Infrastructuur,expanded,trambedrijven,True
tramleiding,Infrastructuur,expanded,tramleiding,True
tramacchi,Infrastructuur,expanded,tramacchi,True
trammen,Infrastructuur,expanded,trammen,True
tramwegen,Infrastructuur,expanded,tramwegen,True
tramplannen,Infrastructuur,expanded,tramplannen,True
tramterrorist,Infrastructuur,expanded,tramterrorist,True
tramproject,Infrastructuur,expanded,tramproject,True
tramontin,Infrastructuur,expanded,tramontin,True
trampolinesprong,Infrastructuur,expanded,trampolinesprong,True
trampin,Infrastructuur,expanded,trampin,True
tramperron,Infrastructuur,expanded,tramperron,True
tramroutes,Infrastructuur,expanded,tramroutes,True
tramonto,Infrastructuur,expanded,tramonto,True
tramharmonie,Infrastructuur,expanded,tramharmonie,True
tramwegmaatschappij,Infrastructuur,expanded,tramwegmaatschappij,True
tramdiensten,Infrastructuur,expanded,tramdiensten,True
tramreis,Infrastructuur,expanded,tramreis,True
tramwagon,Infrastructuur,expanded,tramwagon,True
trampolinehal,Infrastructuur,expanded,trampolinehal,True
trampluslijn,Infrastructuur,expanded,trampluslijn,True
tramvervoerder,Infrastructuur,expanded,tramvervoerder,True
tramkaarten,Infrastructuur,expanded,tramkaarten,True
tramhuisje,Infrastructuur,expanded,tramhuisje,True
trammaterieel,Infrastructuur,expanded,trammaterieel,True
tramperrons,Infrastructuur,expanded,tramperrons,True
tramtanic,Infrastructuur,expanded,tramtanic,True
tramwerkplaats,Infrastructuur,expanded,tramwerkplaats,True
tramtunnels,Infrastructuur,expanded,tramtunnels,True
trammaatschappijen,Infrastructuur,expanded,trammaatschappijen,True
tramdienst,Infrastructuur,expanded,tramdienst,True
tramplatform,Infrastructuur,expanded,tramplatform,True
trambouwer,Infrastructuur,expanded,trambouwer,True
tramezzini,Infrastructuur,expanded,tramezzini,True
tramovergang,Infrastructuur,expanded,tramovergang,True
tramrace,Infrastructuur,expanded,tramrace,True
tramviaduct,Infrastructuur,expanded,tramviaduct,True
tramstations,Infrastructuur,expanded,tramstations,True
tramin,Infrastructuur,expanded,tramin,True
tramtrac,Infrastructuur,expanded,tramtrac,True
trambus,Infrastructuur,expanded,trambus,True
tramezzani,Infrastructuur,expanded,tramezzani,True
tramabonnement,Infrastructuur,expanded,tramabonnement,True
trampolinevereniging,Infrastructuur,expanded,trampolinevereniging,True
tramtrace,Infrastructuur,expanded,tramtrace,True
tramtoestellen,Infrastructuur,expanded,tramtoestellen,True
tramlus,Infrastructuur,expanded,tramlus,True
trampo,Infrastructuur,expanded,trampo,True
trammeland,Infrastructuur,expanded,trammeland,True
tramlokaal,Infrastructuur,expanded,tramlokaal,True
trampolinecoach,Infrastructuur,expanded,trampolinecoach,True
tramstaking,Infrastructuur,expanded,tramstaking,True
tramsystemen,Infrastructuur,expanded,tramsystemen,True
tramwegpersoneel,Infrastructuur,expanded,tramwegpersoneel,True
trambeveiliger,Infrastructuur,expanded,trambeveiliger,True
tramgeluiden,Infrastructuur,expanded,tramgeluiden,True
traminfrastructuur,Infrastructuur,expanded,traminfrastructuur,True
tramwielen,Infrastructuur,expanded,tramwielen,True
tramrestaurant,Infrastructuur,expanded,tramrestaurant,True
trambellen,Infrastructuur,expanded,trambellen,True
trammel,Infrastructuur,expanded,trammel,True
tramparade,Infrastructuur,expanded,tramparade,True
tramorganisaties,Infrastructuur,expanded,tramorganisaties,True
tramwagens,Infrastructuur,expanded,tramwagens,True
tramdrama,Infrastructuur,expanded,tramdrama,True
tramreizen,Infrastructuur,expanded,tramreizen,True
trampolinedoek,Infrastructuur,expanded,trampolinedoek,True
tramfabrikant,Infrastructuur,expanded,tramfabrikant,True
tramunt,Infrastructuur,expanded,tramunt,True
tramtraject,Infrastructuur,expanded,tramtraject,True
tramwagons,Infrastructuur,expanded,tramwagons,True
trampolinespringende,Infrastructuur,expanded,trampolinespringende,True
tramhuisjes,Infrastructuur,expanded,tramhuisjes,True
trampaal,Infrastructuur,expanded,trampaal,True
tramincident,Infrastructuur,expanded,tramincident,True
tramritjes,Infrastructuur,expanded,tramritjes,True
tramplan,Infrastructuur,expanded,tramplan,True
tramprojecten,Infrastructuur,expanded,tramprojecten,True
tramal,Infrastructuur,expanded,tramal,True
trampolineact,Infrastructuur,expanded,trampolineact,True
tramdeur,Infrastructuur,expanded,tramdeur,True
tramellende,Infrastructuur,expanded,tramellende,True
tramsurfen,Infrastructuur,expanded,tramsurfen,True
tramezzino,Infrastructuur,expanded,tramezzino,True
tramdraden,Infrastructuur,expanded,tramdraden,True
trampolinesport,Infrastructuur,expanded,trampolinesport,True
trampolinehallen,Infrastructuur,expanded,trampolinehallen,True
tramwegwezen,Infrastructuur,expanded,tramwegwezen,True
tramvloer,Infrastructuur,expanded,tramvloer,True
tramsteden,Infrastructuur,expanded,tramsteden,True
tramdirecteur,Infrastructuur,expanded,tramdirecteur,True
tramachtige,Infrastructuur,expanded,tramachtige,True
tramkabels,Infrastructuur,expanded,tramkabels,True
trambotsingen,Infrastructuur,expanded,trambotsingen,True
tramraam,Infrastructuur,expanded,tramraam,True
trammer,Infrastructuur,expanded,trammer,True
trambaanontheffing,Infrastructuur,expanded,trambaanontheffing,True
tramdepot,Infrastructuur,expanded,tramdepot,True
tramm,Infrastructuur,expanded,tramm,True
