query,issue,category,query_preprocessed,vocab
distributiepersoneel,Infrastructuur,expanded,distributiepersoneel,True
distributiepoot,Infrastructuur,expanded,distributiepoot,True
distributiefee,Infrastructuur,expanded,distributiefee,True
distributievorm,Infrastructuur,expanded,distributievorm,True
distributiefunctie,Infrastructuur,expanded,distributiefunctie,True
distributiestelsel,Infrastructuur,expanded,distributiestelsel,True
distributiemaatschappijen,Infrastructuur,expanded,distributiemaatschappijen,True
distributiecontracten,Infrastructuur,expanded,distributiecontracten,True
distributiestrategie,Infrastructuur,expanded,distributiestrategie,True
distributiemedewerker,Infrastructuur,expanded,distributiemedewerker,True
distributiedivisie,Infrastructuur,expanded,distributiedivisie,True
distributiemethoden,Infrastructuur,expanded,distributiemethoden,True
distributiedienst,Infrastructuur,expanded,distributiedienst,True
distributievormen,Infrastructuur,expanded,distributievormen,True
distributiecapaciteit,Infrastructuur,expanded,distributiecapaciteit,True
distributieplatforms,Infrastructuur,expanded,distributieplatforms,True
distributielijnen,Infrastructuur,expanded,distributielijnen,True
distributiekettingen,Infrastructuur,expanded,distributiekettingen,True
distributiewerk,Infrastructuur,expanded,distributiewerk,True
distributiedeals,Infrastructuur,expanded,distributiedeals,True
distributieplan,Infrastructuur,expanded,distributieplan,True
distributieradio,Infrastructuur,expanded,distributieradio,True
distributiemodellen,Infrastructuur,expanded,distributiemodellen,True
distributiestructuur,Infrastructuur,expanded,distributiestructuur,True
distributiebeleid,Infrastructuur,expanded,distributiebeleid,True
distributiemiddelen,Infrastructuur,expanded,distributiemiddelen,True
distributiemanager,Infrastructuur,expanded,distributiemanager,True
distributiegroep,Infrastructuur,expanded,distributiegroep,True
distributiekaarten,Infrastructuur,expanded,distributiekaarten,True
distributieorganisatie,Infrastructuur,expanded,distributieorganisatie,True
distributieknooppunt,Infrastructuur,expanded,distributieknooppunt,True
distributieonderneming,Infrastructuur,expanded,distributieonderneming,True
distributiegebied,Infrastructuur,expanded,distributiegebied,True
distributiediensten,Infrastructuur,expanded,distributiediensten,True
distributieprovisie,Infrastructuur,expanded,distributieprovisie,True
distributietechnieken,Infrastructuur,expanded,distributietechnieken,True
distributieafdeling,Infrastructuur,expanded,distributieafdeling,True
distributierecht,Infrastructuur,expanded,distributierecht,True
distributies,Infrastructuur,expanded,distributies,True
distributiekant,Infrastructuur,expanded,distributiekant,True
distributieprocessen,Infrastructuur,expanded,distributieprocessen,True
distributiemarge,Infrastructuur,expanded,distributiemarge,True
distributielocaties,Infrastructuur,expanded,distributielocaties,True
distributiehallen,Infrastructuur,expanded,distributiehallen,True
distributievoordelen,Infrastructuur,expanded,distributievoordelen,True
distributiemiddel,Infrastructuur,expanded,distributiemiddel,True
distributieriemen,Infrastructuur,expanded,distributieriemen,True
distributievestigingen,Infrastructuur,expanded,distributievestigingen,True
distributiewijze,Infrastructuur,expanded,distributiewijze,True
distributieplatformen,Infrastructuur,expanded,distributieplatformen,True
